key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
gameBoyColors,4 colors (green),4 colores (verde),4 colores (verde),4 colors (verd),4 色（绿色）,4 色（綠色）,4 色（緑）,4 colori (verde),4 Farben (grün),4 couleurs (vert),4 colors (green),4 цвета (green),4 colors (green),4 kolory (green),4 renkler (green),4 koloreak (green),4 colors (verd),4 สี (เขียว),4 색 (녹색),1
megaDrive16,Mega Drive (sprite sheet),Mega Drive (sprites),Mega Drive (sprites),Mega Drive (sprites),Mega Drive（sprites）,Mega Drive（sprites）,Mega Drive（スプライト）,Mega Drive (sprite),Mega Drive (Sprites),Mega Drive (sprites),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprite sheet),Mega Drive (sprites),Mega Drive (สไปรท์ชีต),Mega Drive (스프라이트 시트),1
megaDrive16Colors,16 colors (RGB 3-3-3),16 colores (RGB 3-3-3),16 colores (RGB 3-3-3),16 colors (RGB 3-3-3),16 色（RGB 3-3-3）,16 色（RGB 3-3-3）,16 色（RGB 3-3-3）,16 colori (RGB 3-3-3),16 Farben (RGB 3-3-3),16 couleurs (RGB 3-3-3),16 colors (RGB 3-3-3),16 цвета (RGB 3-3-3),16 colors (RGB 3-3-3),16 kolory (RGB 3-3-3),16 renkler (RGB 3-3-3),16 koloreak (RGB 3-3-3),16 colors (RGB 3-3-3),16 สี (RGB 3-3-3),16 색 (RGB 3-3-3),1
megaDriveMultiColors,64 colors (4×16),64 colores (4×16),64 colores (4×16),64 colors (4×16),64 色（4×16）,64 色（4×16）,64 色（4×16）,64 colori (4×16),64 Farben (4×16),64 couleurs (4×16),64 colors (4×16),64 цвета (4×16),64 colors (4×16),64 kolory (4×16),64 renkler (4×16),64 koloreak (4×16),64 colors (4×16),64 สี (4×16),64 색 (4×16),1
megaDriveSingleColors,16 colors (9-bit),16 colores (9-bit),16 colores (9-bit),16 colors (9-bit),16 色（9-bit）,16 色（9-bit）,16 色（9-bit）,16 colori (9-bit),16 Farben (9-bit),16 couleurs (9-bit),16 colors (9-bit),16 цвета (9-bit),16 colors (9-bit),16 kolory (9-bit),16 renkler (9-bit),16 koloreak (9-bit),16 colors (9-bit),16 สี (9-bit),16 색 (9-bit),1
neoGeoMultiColors,4096 colors (16×256),4096 colores (16×256),4096 colores (16×256),4096 colors (16×256),4096 色（16×256）,4096 色（16×256）,4096 色（16×256）,4096 colori (16×256),4096 Farben (16×256),4096 couleurs (16×256),4096 colors (16×256),4096 цвета (16×256),4096 colors (16×256),4096 kolory (16×256),4096 renkler (16×256),4096 koloreak (16×256),4096 colors (16×256),4096 สี (16×256),4096 색 (16×256),1
neoGeoSingleColors,16 colors (15-bit),16 colores (15-bit),16 colores (15-bit),16 colors (15-bit),16 色（15-bit）,16 色（15-bit）,16 色（15-bit）,16 colori (15-bit),16 Farben (15-bit),16 couleurs (15-bit),16 colors (15-bit),16 цвета (15-bit),16 colors (15-bit),16 kolory (15-bit),16 renkler (15-bit),16 koloreak (15-bit),16 colors (15-bit),16 สี (15-bit),16 색 (15-bit),1
zxSpectrumColors,16 colors (4-bit),16 colores (4-bit),16 colores (4-bit),16 colors (4-bit),16 色（4-bit）,16 色（4-bit）,16 色（4-bit）,16 colori (4-bit),16 Farben (4-bit),16 couleurs (4-bit),16 colors (4-bit),16 цвета (4-bit),16 colors (4-bit),16 kolory (4-bit),16 renkler (4-bit),16 koloreak (4-bit),16 colors (4-bit),16 สี (4-bit),16 색 (4-bit),1
cgaPalette0,CGA Palette 0,Paleta CGA 0,Paleta CGA 0,Paleta CGA 0,CGA 调色板 0,CGA 調色盤 0,CGA パレット 0,Palette CGA 0,CGA Palette 0,Palette CGA 0,CGA Palette 0,CGA палитра 0,CGA Palette 0,CGA Paleta 0,CGA Palet 0,CGA Paleta 0,Paleta CGA 0,พาเลท CGA 0,CGA 팔레트 0,1
cgaPalette1,CGA Palette 1,Paleta CGA 1,Paleta CGA 1,Paleta CGA 1,CGA 调色板 1,CGA 調色盤 1,CGA パレット 1,Palette CGA 1,CGA Palette 1,Palette CGA 1,CGA Palette 1,CGA палитра 1,CGA Palette 1,CGA Paleta 1,CGA Palet 1,CGA Paleta 1,Paleta CGA 1,พาเลท CGA 1,CGA 팔레트 1,1
cgaPalette2,CGA Palette 2,Paleta CGA 2,Paleta CGA 2,Paleta CGA 2,CGA 调色板 2,CGA 調色盤 2,CGA パレット 2,Palette CGA 2,CGA Palette 2,Palette CGA 2,CGA Palette 2,CGA палитра 2,CGA Palette 2,CGA Paleta 2,CGA Palet 2,CGA Paleta 2,Paleta CGA 2,พาเลท CGA 2,CGA 팔레트 2,1
gameBoyRealistic,Game Boy (Realistic),Game Boy (realista),Game Boy (realista),Game Boy (realista),Game Boy（真实感）,Game Boy（真實風格）,Game Boy（リアル）,Game Boy (realistico),Game Boy (realistisch),Game Boy (réaliste),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (Realistic),Game Boy (realista),Game Boy (สมจริง),Game Boy (리얼리스틱),1
amstradCpc,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,Amstrad CPC,1
nesPalette,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,NES,1
commodore64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,Commodore 64,1
zxSpectrumPalette,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,ZX Spectrum,1
cgaColors,4 colors (CGA),4 colores (CGA),4 colores (CGA),4 colors (CGA),4 色（CGA）,4 色（CGA）,4 色（CGA）,4 colori (CGA),4 Farben (CGA),4 couleurs (CGA),4 colors (CGA),4 цвета (CGA),4 colors (CGA),4 kolory (CGA),4 renkler (CGA),4 koloreak (CGA),4 colors (CGA),4 สี (CGA),4 색 (CGA),1
amstradCpcColors,27 colors,27 colores,27 colores,27 colors,27 色,27 色,27 色,27 colori,27 Farben,27 couleurs,27 colors,27 цвета,27 colors,27 kolory,27 renkler,27 koloreak,27 colors,27 สี,27 색,1
nesColors,64 colors,64 colores,64 colores,64 colors,64 色,64 色,64 色,64 colori,64 Farben,64 couleurs,64 colors,64 цвета,64 colors,64 kolory,64 renkler,64 koloreak,64 colors,64 สี,64 색,1
commodore64Colors,16 colors,16 colores,16 colores,16 colors,16 色,16 色,16 色,16 colori,16 Farben,16 couleurs,16 colors,16 цвета,16 colors,16 kolory,16 renkler,16 koloreak,16 colors,16 สี,16 색,1
alignment,Alignment,Alineación,Alineación,Alineació,对齐,對齊,配置,Allineamento,Ausrichtung,Alignement,Alignment,Alignment,Alignment,Alignment,Alignment,Alignment,Alineació,การจัดตำแหน่ง,정렬,1
alignTopLeft,Top Left,Arriba izquierda,Arriba izquierda,A dalt a l'esquerra,左上,左上,左上,In alto a sinistra,Oben links,En haut à gauche,Top Left,Top Left,Top Left,Top Left,Top Left,Top Left,A dalt a l'esquerra,มุมบนซ้าย,좌상,1
alignTopCenter,Top Center,Arriba centro,Arriba centro,A dalt al centre,上中,上中,上中央,In alto al centro,Oben Mitte,En haut au centre,Top Center,Top Center,Top Center,Top Center,Top Center,Top Center,A dalt al centre,บนกลาง,상중,1
alignTopRight,Top Right,Arriba derecha,Arriba derecha,A dalt a la dreta,右上,右上,右上,In alto a destra,Oben rechts,En haut à droite,Top Right,Top Right,Top Right,Top Right,Top Right,Top Right,A dalt a la dreta,มุมบนขวา,우상,1
alignMiddleLeft,Middle Left,Centro izquierda,Centro izquierda,Al centre esquerra,中左,中左,中左,Centro sinistra,Mitte links,Milieu gauche,Middle Left,Middle Left,Middle Left,Middle Left,Middle Left,Middle Left,Al centre esquerra,กลางซ้าย,중좌,1
alignMiddleCenter,Middle Center,Centro,Centro,Al centre,居中,置中,中央,Centro,Mitte,Milieu,Middle Center,Middle Center,Middle Center,Middle Center,Middle Center,Middle Center,Al centre,กึ่งกลาง,중앙,1
alignMiddleRight,Middle Right,Centro derecha,Centro derecha,Al centre dreta,中右,中右,中右,Centro destra,Mitte rechts,Milieu droit,Middle Right,Middle Right,Middle Right,Middle Right,Middle Right,Middle Right,Al centre dreta,กลางขวา,중우,1
alignBottomLeft,Bottom Left,Abajo izquierda,Abajo izquierda,A baix a l'esquerra,左下,左下,左下,In basso a sinistra,Unten links,En bas à gauche,Bottom Left,Bottom Left,Bottom Left,Bottom Left,Bottom Left,Bottom Left,A baix a l'esquerra,มุมล่างซ้าย,좌하,1
alignBottomCenter,Bottom Center,Abajo centro,Abajo centro,A baix al centre,下中,下中,下中央,In basso al centro,Unten Mitte,En bas au centre,Bottom Center,Bottom Center,Bottom Center,Bottom Center,Bottom Center,Bottom Center,A baix al centre,ล่างกลาง,하중,1
alignBottomRight,Bottom Right,Abajo derecha,Abajo derecha,A baix a la dreta,右下,右下,右下,In basso a destra,Unten rechts,En bas à droite,Bottom Right,Bottom Right,Bottom Right,Bottom Right,Bottom Right,Bottom Right,A baix a la dreta,มุมล่างขวา,우하,1
showTileGrid,Show tile grid,Mostrar rejilla de tiles,Mostrar rejilla de tiles,Mostrar reixeta de tiles,显示瓦片网格,顯示圖塊網格,タイルグリッドを表示,Mostra griglia dei tile,Tile-Gitter anzeigen,Afficher la grille de tuiles,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Mostrar reixeta de tiles,แสดงกริดไทล์,타일 그리드 표시,1
showFrameGrid,Show frame grid,Mostrar rejilla de fotogramas,Mostrar rejilla de fotogramas,Mostrar reixeta de fotogrames,显示帧网格,顯示幀網格,フレームグリッドを表示,Mostra griglia dei frame,Frame-Gitter anzeigen,Afficher la grille de frames,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Mostrar reixeta de fotogrames,แสดงกริดเฟรม,프레임 그리드 표시,1
loadFromClipboard,Load from clipboard,Cargar desde portapapeles,Cargar desde portapapeles,Carregar des del porta-retalls,从剪贴板加载,從剪貼簿載入,クリップボードから読み込む,Carica dagli appunti,Aus der Zwischenablage laden,Charger depuis le presse-papiers,Load from clipboard,Load from clipboard,Load from clipboard,Load from clipboard,Load from clipboard,Load from clipboard,Carregar des del porta-retalls,โหลดจากคลิปบอร์ด,클립보드에서 불러오기,1
changeCamera,Change camera,Cambiar cámara,Cambiar cámara,Canviar càmera,切换相机,切換相機,カメラを切替,Cambia fotocamera,Kamera wechseln,Changer la caméra,Change camera,Change camera,Change camera,Change camera,Change camera,Change camera,Canviar càmera,เปลี่ยนกล้อง,카메라 변경,1
cameraError,Camera Error,Error de cámara,Error de cámara,Error de càmera,相机错误,相機錯誤,カメラエラー,Errore fotocamera,Kamera Fehler,Erreur de caméra,Camera Error,Camera Error,Camera Error,Camera Error,Camera Error,Camera Error,Error de càmera,ข้อผิดพลาดกล้อง,카메라 오류,1
cameraNotAvailable,Camera not available or access denied,Cámara no disponible o acceso denegado,Cámara no disponible o acceso denegado,Càmera no disponible o accés denegat,相机不可用或访问被拒绝,相機不可用或拒絕存取,カメラが利用できないかアクセスが拒否されました,Fotocamera non disponibile o accesso negato,Kamera nicht verfügbar oder Zugriff verweigert,Caméra non disponible ou accès refusé,Camera not available or access denied,Camera not available or access denied,Camera not available or access denied,Camera not available or access denied,Camera not available or access denied,Camera not available or access denied,Càmera no disponible o accés denegat,ไม่พบกล้อง หรือปฏิเสธการเข้าถึง,카메라를 사용할 수 없거나 접근이 거부되었습니다,1
cameraTimeout,Camera timeout - please try again,Tiempo de espera de la cámara — inténtalo de nuevo,Tiempo de espera de la cámara — inténtalo de nuevo,Temps d'espera de la càmera — torna-ho a provar,相机超时 — 请重试,相機逾時 — 請重試,カメラのタイムアウト — もう一度試してください,Timeout fotocamera — riprova,Kamera Timeout — bitte erneut versuchen,Timeout de la caméra — veuillez réessayer,Camera timeout - please try again,Camera timeout - please try again,Camera timeout - please try again,Camera timeout - please try again,Camera timeout - please try again,Camera timeout - please try again,Temps d'espera de la càmera — torna-ho a provar,การเชื่อมต่อกล้องหมดเวลา — โปรดลองอีกครั้ง,카메라 타임아웃 — 다시 시도하세요,1
cameraNotReadable,Could not start camera - please check permissions,No se pudo iniciar la cámara — revisa permisos,No se pudo iniciar la cámara — revisa permisos,No s'ha pogut iniciar la càmera — comprova permisos,无法启动相机 — 请检查权限,無法啟動相機 — 請檢查權限,カメラを開始できません — 権限を確認してください,Impossibile avviare la fotocamera — controlla i permessi,Kamera konnte nicht gestartet werden — überprüfe Berechtigungen,Impossible de démarrer la caméra — vérifiez les permissions,Could not start camera - please check permissions,Could not start camera - please check permissions,Could not start camera - please check permissions,Could not start camera - please check permissions,Could not start camera - please check permissions,Could not start camera - please check permissions,No s'ha pogut iniciar la càmera — comprova permisos,ไม่สามารถเริ่มกล้อง — ตรวจสอบสิทธิ์,카메라를 시작할 수 없습니다 — 권한을 확인하세요,1
exportAtCurrentZoom,Export at current zoom,Exportar al zoom actual,Exportar al zoom actual,Exportar al zoom actual,按当前缩放导出,以當前縮放匯出,現在のズームでエクスポート,Esporta con lo zoom corrente,Beim aktuellen Zoom exportieren,Exporter au zoom courant,Exportar no zoom atual,Экспорт с текущим зумом,Exportar no zoom atual,Eksportuj w bieżącym powiększeniu,Mevcut yakınlaştırmada dışa aktar,Uneko zoom-ean esportatu,Exportar al zoom actual,ส่งออกที่การซูมปัจจุบัน,현재 줌에서 내보내기,1
exportAtOriginalSize,Export at original size,Exportar al tamaño original,Exportar al tamaño original,Exportar a la mida original,按原始尺寸导出,以原始尺寸匯出,元のサイズでエクスポート,Esporta alla dimensione originale,In Originalgröße exportieren,Exporter à la taille originale,Export at original size,Экспорт at original size,Export at original size,Eksport at original size,Dışa aktar at original size,Esportatu at original size,Exportar a la mida original,ส่งออกที่ขนาดต้นฉบับ,원래 크기로 내보내기,1
exportWithGrids,Export with grids,Exportar con rejillas,Exportar con rejillas,Exportar amb reixetes,包含网格导出,包含網格匯出,グリッド付きでエクスポート,Esporta con griglie,Mit Gittern exportieren,Exporter avec grilles,Exportar com grelhas,Экспорт с сетками,Exportar com grades,Eksportuj z siatkami,Izgaralarla dışa aktar,Saretiekin esportatu,Exportar amb grilhas,ส่งออกพร้อมกริด,그리드 포함 내보내기,1
exportWithoutGrids,Export without grids,Exportar sin rejillas,Exportar sin rejillas,Exportar sense reixetes,不含网格导出,不含網格匯出,グリッドなしでエクスポート,Esporta senza griglie,Ohne Gitter exportieren,Exporter sans grilles,Export without grids,Экспорт without grids,Export without grids,Eksport without grids,Dışa aktar without grids,Esportatu without grids,Exportar sense reixetes,ส่งออกโดยไม่รวมกริด,그리드 없이 내보내기,1
exportFormat,Export Format,Formato de exportación,Formato de exportación,Format d'exportació,导出格式,匯出格式,エクスポート形式,Formato di esportazione,Exportformat,Format d'export,Formato de Exportação,Формат Экспорта,Formato de Exportação,Format Eksportu,Dışa Aktarma Formatı,Esportazio Formatua,Format d\'Exportacion,รูปแบบการส่งออก,내보내기 형식,1
exportTypes,Export Types,Tipos de exportación,Tipos de exportación,Tipus d'exportació,导出类型,匯出類型,エクスポートタイプ,Tipi di esportazione,Exporttypen,Types d'export,Tipos de Exportação,Типы Экспорта,Tipos de Exportação,Typy Eksportu,Dışa Aktarma Türleri,Esportazio Motak,Tipes d\'Exportacion,ประเภทการส่งออก,내보내기 유형,1
loadImageDescription,"Import, capture, or paste an image to start editing","Importa, captura o pega una imagen para empezar a editar","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","MT: Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing","Import, capture, or paste an image to start editing",นำเข้าหรือจับภาพ หรือวางรูปเพื่อเริ่มแก้ไข,편집을 시작하려면 이미지를 가져오거나 캡처하거나 붙여넣기,1
changePaletteDescription,Select a retro console color palette to apply,Selecciona una paleta retro para aplicar,Selecciona una paleta retro para aplicar,Selecciona una paleta retro per aplicar,选择一款复古主机的调色板应用,選擇一款復古主機的調色盤套用,レトロなゲーム機のパレットを選択して適用,Seleziona una palette retro da applicare,"Wähle eine Retro-Konsole-Palette aus, um sie anzuwenden",Sélectionnez une palette rétro à appliquer,Select a retro console color palette to apply,Select a retro console цвет palette to apply,Select a retro console color palette to apply,Select a retro console kolor palette to apply,Select a retro console renk palette to apply,Select a retro console kolore palette to apply,Selecciona una paleta retro per aplicar,เลือกพาเลทสีของคอนโซลเรโทรเพื่อใช้งาน,적용할 레트로 콘솔 색상 팔레트를 선택하세요,1
changeResolutionDescription,Choose target resolution and scaling mode,Elige la resolución objetivo y el modo de escalado,Elige la resolución objetivo y el modo de escalado,Tria la resolució objectiu i el mode d'escalat,选择目标分辨率和缩放模式,選擇目標解析度與縮放模式,目標解像度とスケーリングモードを選択,Scegli la risoluzione target e la modalità di scala,Wähle Zielauflösung und Skalierungsmodus,Choisissez la résolution cible et le mode de mise à l'échelle,Choose target resolution and scaling mode,Choose target разрешение and scaling mode,Choose target resolution and scaling mode,Choose target rozdzielczość and scaling mode,Choose target çözünürlük and scaling mode,Choose target bereizmena and scaling mode,Tria la resolució objectiu i el mode d'escalat,เลือกความละเอียดเป้าหมายและโหมดการสเกล,목표 해상도와 스케일 모드를 선택하세요,1
changeGridsDescription,Configure tile and frame grid overlays,Configura las superposiciones de rejilla de tiles y fotogramas,Configura las superposiciones de rejilla de tiles y fotogramas,Configura les superposicions de reixeta de tiles i fotogrames,配置瓦片与帧的网格覆盖,設定圖塊與幀的格線覆蓋,タイルとフレームのグリッドオーバーレイを設定,Configura le sovrapposizioni delle griglie per tile e frame,Konfiguriere Tile- und Frame-Gitterüberlagerungen,Configurez les superpositions de grille pour tiles et frames,Configure tile and frame grid overlays,Configure tile and frame grid overlays,Configure tile and frame grid overlays,Configure tile and frame grid overlays,Configure tile and frame grid overlays,Configure tile and frame grid overlays,Configura les superposicions de reixeta de tiles i fotogrames,กำหนดทับเส้นกริดของไทล์และเฟรม,타일 및 프레임 그리드 오버레이를 구성하세요,1
exportImageDescription,Download or share your processed image,Descargar o compartir la imagen procesada,Descargar o compartir la imagen procesada,Descarregar o compartir la imatge processada,下载或分享处理后的图片,下載或分享處理後的圖片,処理した画像をダウンロードまたは共有,Scarica o condividi l'immagine processata,Verarbeitetes Bild herunterladen oder teilen,Télécharger ou partager l'image traitée,Download or share your processed image,Download or share your processed image,Download or share your processed image,Download or share your processed image,Download or share your processed image,Download or share your processed image,Descarregar o compartir la imatge processada,ดาวน์โหลดหรือแชร์ภาพที่ประมวลผลแล้ว,처리된 이미지를 다운로드하거나 공유하세요,1
zoomedResolution,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,zoomed,확대됨,1
zoomedDimensions,({width}×{height} zoomed),({width}×{height} ampliado),({width}×{height} ampliado),({width}×{height} ampliat),({width}×{height} 缩放),({width}×{height} 縮放),({width}×{height} ズーム),({width}×{height} ingrandito),({width}×{height} vergrößert),({width}×{height} zoomé),({width}×{height} ampliado),({width}×{height} zoomed),MT: ({width}×{height} zoomed),({width}×{height} zoomed),({width}×{height} zoomed),({width}×{height} zoomed),({width}×{height} ampliat),({width}×{height} zoomed),({width}×{height} 확대),({width}×{height} zvětšeno)
png8IndexedFormat,PNG-8 Indexed ({count} colors palette),PNG-8 indexado ({count} colores paleta),PNG-8 indexado (paleta de {count} colores),PNG-8 Indexat (paleta de {count} colors),PNG-8 索引 ({count}色调色板),PNG-8 索引 ({count}色調色板),PNG-8 インデックス ({count}色パレット),PNG-8 Indicizzato (tavolozza di {count} colori),PNG-8 Indiziert ({count} Farben Palette),PNG-8 Indexé (palette de {count} couleurs),PNG-8 Indexado (paleta de {count} cores),PNG-8 Indexed ({count} цвета palette),MT: PNG-8 Indexed ({count} colors palette),PNG-8 Indexed ({count} kolory palette),PNG-8 Indexed ({count} renkler palette),PNG-8 Indexed ({count} koloreak palette),PNG-8 Indexat (paleta de {count} colors),PNG-8 ดัชนี ({count} พาเลทสี),PNG-8 인덱스 ({count} 색 팔레트),PNG-8 indexovaný ({count} barev paleta)
png24IndexedFormat,PNG-24 Indexed ({count} colors palette),PNG-24 indexada (paleta de {count} colores),PNG-24 indexada (paleta de {count} colores),PNG-24 Indexat (paleta de {count} colors),PNG-24 索引 ({count}色调色板),PNG-24 索引 ({count}色調色板),PNG-24 インデックス ({count}色パレット),PNG-24 Indicizzato (tavolozza di {count} colori),PNG-24 Indiziert ({count} Farben Palette),PNG-24 Indexé (palette de {count} couleurs),PNG-24 Indexed ({count} colors palette),PNG-24 Indexed ({count} цвета palette),PNG-24 Indexed ({count} colors palette),PNG-24 Indexed ({count} kolory palette),PNG-24 Indexed ({count} renkler palette),PNG-24 Indexed ({count} koloreak palette),PNG-24 Indexat (paleta de {count} colors),PNG-24 ดัชนี ({count} พาเลทสี),PNG-24 인덱스 ({count} 색 팔레트),PNG-24 indexovaný ({count} barev paleta)
png24RgbFormat,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,MT: PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,PNG-24 RGB,1
captureButton,Capture,Capturar,Capturar,Capturar,拍摄,拍攝,キャプチャ,Cattura,Aufnehmen,Capturer,Capturar,Снимок,MT: Capture,Capture,Capture,Capture,Capturar,จับภาพ,캡처,1
languageNames.en,English,English,MT: English,MT: English,MT: English,MT: English,MT: English,MT: English,MT: English,MT: English,English,English,English,English,English,English,English,English,English,1
languageNames.es-ES,Español (España),Español (España),MT: Español (España),MT: Español (España),MT: Español (España),MT: Español (España),MT: Español (España),MT: Español (España),MT: Español (España),MT: Español (España),Español (España),Español (España),Español (España),Español (España),Español (España),Español (España),Español (España),Español (España),Español (España),1
languageNames.es-LA,Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),Español (Latinoamérica),1
languageNames.ca,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,Català,1
languageNames.zh-CN,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,1
languageNames.zh-TW,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,1
languageNames.ja,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,1
languageNames.it,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,1
languageNames.de,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,1
languageNames.fr,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,1
languageNames.pt-PT,Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),Português (Portugal),1
languageNames.ru,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,1
languageNames.pt-BR,Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Portugu Português (Brasil),Portugu Português (Brasil),Portugu Português (Brasil),Portugu Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),1
languageNames.pl,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,1
languageNames.tr,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,1
languageNames.eu,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,Euskera,1
languageNames.oc,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,Aranés,1
languageNames.th,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,ไทย,1
languageNames.ko,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,한국어,1
languageNames.cs,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,1
